Question,Answer
[가입절차] 스마트스토어센터 회원가입은 어떻게 하나요? (ID만들기),"네이버 커머스 ID 하나로 스마트스토어센터와 같은 네이버의 다양한 커머스 서비스를 편리하게 이용하실 수 있습니다.네이버 커머스 ID가 없으시다면 [가입하기] 버튼을 통해 회원가입해 주세요.           1. '네이버ID' 로 네이버 커머스 ID 가입하기1) [네이버 아이디로 가입하기] 버튼을 눌러서 네이버 로그인 해 주세요.2) 연락가능한 휴대폰번호를 입력하시고 인증하신 후 개인정보 수집동의를 체크 하여 [가입] 버튼을 눌러주세요. 3) 네이버 커머스 ID 회원가입이 완료되어 해당 네이버ID 로 스마트스토어센터 서비스 가입을 하실 수 있습니다. 이 후 스마트스토어센터 로그인 시에 [네이버 아이디로 로그인] 버튼을 눌러서 네이버 로그인을 하실 수 있습니다. 2. '이메일 아이디'로 네이버 커머스 ID 가입하기 1) [이메일 아이디로 가입하기] 버튼을 눌러서 사용할 ID를 입력해 주세요.! 중요. 로그인 ID는 ""실 사용중인 이메일주소""로 기재하셔야 합니다. (예 : abc@naver.com)2) 연락가능한 휴대폰번호와 이메일주소를 입력하시고 인증하신 후 개인정보 수집동의를 체크 하여 [가입] 버튼을 눌러주세요.3) 네이버 커머스 ID 회원가입이 완료되어 해당 이메일 아이디로 스마트스토어센터 서비스 가입을 하실 수 있습니다.이 후 스마트스토어센터 로그인 시에 해당 이메일 아이디와 비밀번호를 입력하여 로그인을 하실 수 있습니다. ※ 참고. 로그인 ID 계정 대표자와 사업자번호 대표자 동일여부는 체크하지 않습니다. (대표자가 상이해도 가입 진행 가능합니다.)             


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



관련 도움말/키워드

스마트스토어 로그인ID(매니저)를 추가하거나 변경할 수 없나요?
네이버 커머스 ID 전환 이후, 이전 아이디로 로그인이 불가한가요?
네이버 커머스 ID 전환 후 로그인이 되지 않아요.



도움말 닫기"
[가입서류] 스마트스토어 판매자 유형별 필요한 서류가 어떻게 되나요?,"스마트스토어 판매 회원 분류는 아래와 같으며 반드시 모든 서류를 제출해 주셔야 가입이 가능합니다. 가입 서류는 가입 단계에서 업로드 가능하며, 가입 신청 시 서류 준비가 되지 않은 경우 가입 완료 후 [판매자정보 > 심사내역 조회] 메뉴에서 업로드 가능합니다.사업자 등록증의 경우 고객확인제도(AML)를 위한 최신 사업자의 정보를 확인하기 위해 최근 1년 이내 발급분으로 서류 접수받고 있습니다.   판매회원분류 가입 시 필요 서류 국내 개인일반  서류 불필요법정 미성년자(만 19세 미만) 법정대리인 인감증명서 사본 1부 (최근 3개월 이내 발급 분, 생년월일+성별 구분 제외 마스킹 필요) 가족관계증명서 사본 1부 (또는 법정대리임을 증명할 서류) 스마트스토어 법정대리인 동의서 사본 1부 (판매회원 ID 필수 기재) ※ 참고.   · 법정대리인 인감증명서 제출이 어려울 경우 법정대리인 본인서명사실확인서로 대체 가능 국내 사업자 법정 미성년자(만 19세 미만)  사업자 등록증 사본 1부 (1년 이내 발급분) 대표자(또는 사업자) 명의 통장 사본 1부  대표자 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 대표자(또는 사업자) 명의 통장 사본 1부 ※ 참고.  · 법정 미성년자 대표자여도 이미 사업자등록증 발급당시 법정대리인 확인 후 발급됨으로    법적대리인의 동의서류는 별도 받지 않음 · 예금주명이 대표자명 또는 사업자등록증의 상호명과 동일할 경우 통장사본 생략 가능 · 공동대표의 경우 대표 대표자가 예금주명에 있는 경우 통장 사본 생략 가능 · 대표자 본인 인감증명서 제출이 필요하며 법적대리인 인감증명서 제출로는 가입 심사 불가능 · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능  · 대표자 본인명의 휴대폰 인증시 '대표자 인감증명서'제출 생략 가능 간이/개인사업자 사업자 등록증 사본 1부 (1년 이내 발급분) 대표자 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 대표자(또는 사업자) 명의 통장 사본 1부 ※ 참고. · 예금주명이 대표자명 또는 사업자등록증의 상호명과 동일할 경우 통장사본 생략 가능 · 공동대표의 경우 대표 대표자가 예금주명에 있는 경우 통장 사본 생략 가능 · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능 법인사업자  사업자 등록증 사본 1부 (1년 이내 발급분)   법인 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 법인 명의 통장 사본 1부 ※ 참고. · 예금주명이 사업자등록증의 법인 명의(상호명)과 동일한 경우 통장 사본 생략 가능 · 비영리 법인인 경우 법인인감증명서 대신 가입 시 기재한 대표자의 개인인감증명서로 대체 가능 법인 지점사업자 지점 사업자 등록증 사본 1부 (1년 이내 발급분)  법인 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 지점 명의 통장 사본 1부 해외 사업자   대표자 여권 사본 1부  사업자등록증(미국의 경우 IRS 서류) 사본 1부  사업자 또는 법인 명의 통장(해외계좌 인증 서류 가능) 사본 1부  ※ 참고. 비영어권은 영문번역본과 함께 제출 필수  스마트스토어법정대리인 동의서 사본 1부 다운로드 받기》스마트스토어 통신판매업 신고번호 입력 기준1. 직전년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상인 경우2. 부가가치세법 제2조 제4호의 간이과세자에 해당되지 않을 경우(부가가치세법 제2조 제4호)판매자유형 개인판매자 (개인판매회원)간이사업자개인사업자 (일반사업자)법인사업자  사업자 신고 기준(복수 계정인 경우 총 합) 직전년도 누적 판매금액 4,800만원 이상 또는당해년도 1월1일부터 누적 판매금액 4,400만원 이상 -통신판매업 신고번호 입력기준(복수 계정인 경우 총 합)직전년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상직전년도 누적 판매 금액 8,000만원 이상 또는 당해년도 1월1일부터 판매 금액 8,000만원 이상  직전 년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상 기준 초과 시 안내 사업자 전환 안내(로그인 팝업 알림/EMS 발송)통신판매업 미신고 안내(로그인 팝업 알림/EMS 발송) 매월 2일마다 안내 누적 판매금액 집계 기준(판매자등급 기준과 동일)구매확정 건의 상품주문번호 단위 결제금액 - 직권취소된 상품주문번호의 결제금액(조합형 옵션/추가 상품 금액 포함, 배송비는 판매금액에 포함되지 않음) 누적건수 집계 기준(판매자등급 기준과 동일)상품주문번호 단위 구매확정 건 - 직권취소 건 (일반 주문건만 포함되며, 추가상품/배송비는 판매건수에 포함되지 않음)※ 참고.  · 통신판매업 신고번호 입력 기준에 해당할 경우 통신판매업 신고 완료 후 진행 바랍니다. · 통신판매업신고증 발급을 위한 '구매안전서비스 이용확인증' 출력은 [판매자정보 > 판매자 정보] 메뉴 우측 상단 '구매안전서비스 이용확인증'버튼을 통해 진행 가능합니다. · 신규 가입 시 공정거래위원회에서 사업자 정보로 정상 조회가 가능한 경우 통신판매업 신고 번호 기재하여 가입이 진행됩니다.  · 페이지가 여러 장인 서류는 모든 페이지를 접수해 주셔야 하며, 발급일자가 모두 동일해야 합니다. · 사업자등록증과 동일하게 정보가 기재된 사업자등록증명으로 대체가 가능합니다. 다만, 최근 1년 이내 발급한 서류로 제출 바랍니다. · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능합니다.  · 대표자 명의로 개통된 휴대전화로 본인인증을 하시면 인감증명서를 제출하지 않으셔도 됩니다.   · 미성년자 관련 서류 내 법정대리인 인감증명서 제출이 어려울 경우 법정대리인 본인서명사실확인서로 대체 가능합니다.  · 미성년자 사업자로 가입 시 본인인증 수단에서 휴대폰 본인인증으로 안했을 시 미성년자(본인)인감증명서 또는 본인서명사실확인서를 제출해야 됩니다.    다만, 미성년자 본인인감증명서 제출이 어려울 경우 사업자 가입심사 건을 취소하고 재 가입 시 '휴대폰 본인인증'으로 진행 바랍니다.  · 모든 서류 제출 후 3영업일 내 심사가 진행되며 결과는 담당자 메일로 발송됩니다.  · 해외 거주자의 서류는 영문번역본으로 제출해 주셔야 합니다.   발급기관에서 영문번역본으로 받을 경우 별도의 공증은 필요치 않으며, 만약 발급기관에서 영문번역본으로 발급이 어려운 경우 영사관 또는 공증번역기관으로부터 공증을 받은 영문번역본으로 제출해 주셔야 합니다. · 공동대표인 경우 가입 신청 시 대표자명을 모두 입력해야 하며, 각 대표자의 개인인감증명서(법인인 경우 법인인감증명서)를 모두 제출해야 합니다. · 각자대표인 경우 사업자등록증 상의 대표자가 다수여도 한 명의 대표자만 가입이 가능하며, 이때 가입서류 중 인감증명서는 가입 시 기재한 대표자의 서류(법인인 경우 법인인감증명서)만 제출 가능합니다. · 통장사본은 계좌개설확인서 또는 온라인통장표지로 대체 가능합니다.  · 스마트스토어 심사 시 서류 발급 용도에 대해서는 확인하고 있지 않습니다. ""온라인 판매 제출용""과 같이 실제 필요한 사유에 맞게 기재하여 주시기 바랍니다.   가입 신청을 했습니다. 심사 결과는 어떻게 확인하나요?》 


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



관련 도움말/키워드

[고객확인제도] 고객확인제도(AML) 정보 등록 시 어떤 서류를 제출해야 하나요?



도움말 닫기"
[심사결과] 가입 신청을 했습니다. 심사 결과는 어떻게 확인하나요?,"스마트스토어센터에 로그인하시면 ""팝업"" 또는 [판매자 정보 > 심사내역 조회] 메뉴에서 상세한 정보(제출하신 서류, 보류 사유 등)를 확인할 수 있습니다.가입 완료 전 심사 과정은 총 5개로 노출될 수 있으며, 해당하는 팝업 메시지에 따라 해결방법을 확인 해 주세요.           · 심사 중 : 현재 심사가 진행 중입니다. 영업일 기준 3일 이내에 심사가 완료됩니다. · 심사 중 (서류 미제출) : 필수 서류를 모두 제출하지 않아서 심사가 진행되지 않고 있습니다. 서류를 제출하면 바로 심사가 진행됩니다.  · 심사 중 (서류 통과) : 쇼핑윈도 노출심사 시 서류심사 승인된 상태입니다.  ※ 참고. 1차승인(서류통과) 처리가 완료되면 검수기준에 맞는 상품을 등록해 주셔야 검수가 진행되며, 최종 승인까지 진행됩니다.  · 보류 : 제출하신 서류/정보 중에 부족한 점이 발견되어 가입 심사가 보류되었습니다. 보류 사유를 확인하시고 서류 미비로 보류된 경우, 서류를 재등록하시면 심사가 다시 진행됩니다. · 거부 : 스마트스토어센터 가입이 불가능합니다. 판매자 가입이 '보류' 되었습니다. 왜그런가요?》판매자 가입이 '거부' 되었습니다. 왜그런가요?》          ※ 참고. 혹시, ""팝업"" 메시지를 확인하지 못하셨나요?· [판매자 정보 > 심사내역 조회] 메뉴에서 모든 심사 결과를 확인하실 수 있습니다.· 네이버 스마트스토어 고객센터에서는 고객센터 번호(1588-3819) 이외의 번호로는 연락드리지 않습니다. 스마트스토어 관련 내용으로 그 외 번호로 연락을 받으신 경우는 주의 부탁드립니다.  


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입절차][쇼핑윈도/패션타운] 네이버 쇼핑윈도 노출 절차는 어떻게 되나요?,"네이버 쇼핑 윈도에 입점하기 위해서는, [노출관리 > 쇼핑윈도 노출제안] 을 통해 자세한 조건을 확인할 수 있습니다.아래 패션타운 및 윈도 서비스는 입점 신청 전, self 입점 체크를 통해 입점 가능여부를 확인하실 수 있습니다.패션타운 해외직구 self 입점 체크 바로 가기》패션타운 뷰티 self 입점 체크 바로 가기》패션타운 소호&스트릿윈도 self 입점 체크 바로 가기》  키즈윈도(로드샵) self 입점 체크 바로 가기》키즈윈도(브랜드) self 입점 체크 바로 가기》네이버펫 self 입점 체크 바로 가기》리빙윈도(홈&데코/창작공방/문방구) self 입점 체크 바로 가기》 입점 기준 확인 및 self 체크가 완료되었다면 아래 메뉴를 통해 입점 신청해 주세요.           스마트스토어센터에서 입점 신청하기1) 사업자로 가입한 판매자만 입점이 가능합니다. 2) [노출관리 > 쇼핑윈도 노출제안] 메뉴를 선택하세요.3) ""소호&스트릿/ 뷰티(브랜드 본사, 공식 수입사만 가능)/ 해외직구(해외직구 서비스 지역의 현지 해외 사업자)/    리빙 윈도(리빙 상품군) / 키즈 윈도(유아동) / 플레이 윈도(디지털, 스포츠/레저, 키덜트 상품군) / 아트 윈도(담당자와 사전 협의된 작가, 갤러리) /   네이버 펫 윈도(강아지/고양이 관련 브랜드 본사, 공식 수입사) / 푸드 윈도(산지직송, 지역명물, 간편집밥, 전통주 등 다양한 푸드 상품군)"" 중에서 원하는 윈도를 선택해 주세요.4) 각 윈도 특성에 따라 가입 조건이 있습니다. 하단의 가입조건에 따라 필요한 정보를 입력해 주세요.  정보 입력 후 ""채널 추가 요청""을 하시면 심사 담당자를 통해 영업일 3일 이내로 심사 결과를 전달해 드립니다.            


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입서류] 국내 사업자로 가입하려면 어떤 서류가 필요한가요?,"국내 간이/개인(일반)/법인 사업자'로 가입하기 위해서는 아래의 서류를 사전에 준비해 주셔야 합니다.가입 서류는 가입 단계에서 업로드 가능하며, 가입 신청 시 서류 준비가 되지 않은 경우 가입 완료 후 [판매자정보 > 심사내역 조회] 메뉴에서 업로드 가능합니다. (Fax 불가) 사업자 등록증의 경우 고객확인제도(AML)를 위한 최신 사업자의 정보를 확인하기 위해 최근 1년이내 발급분으로 서류 접수받고 있습니다.  발급일로부터 1년이 경과되었다면 재발급 받으신 다음 제출해 주시기 바랍니다. (사업자등록증명원으로 대체 가능) [판매자 유형별 필요 서류]  판매회원분류 가입 시 필요 서류국내 개인일반 서류 불필요 법정 미성년자(만 14세~ 만 19세 미만) 법정대리인 인감증명서 사본 1부 (최근 3개월 이내 발급 분, 생년월일+성별 구분 제외 마스킹 필요) 가족관계증명서 사본 1부 (또는 법정대리임을 증명할 서류) 스마트스토어 법정대리인 동의서 사본 1부 (판매회원 ID 필수 기재) 스마트스토어 법정대리인 동의서 사본 1부 다운로드 받기》  ※ 참고.   · 법정대리인 인감증명서 제출이 어려울 경우 법정대리인 본인서명사실확인서로 대체 가능 · 가족관계증명서의 경우 주민번호 뒤 6자리(생년월일+성별 구분 제외) 마스킹 필요(발급일 무관)   국내 사업자법정 미성년자(만 14세~ 만 19세 미만) 사업자 등록증 사본 1부 (1년 이내 발급분) 대표자(또는 사업자) 명의 통장 사본 1부  대표자 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 대표자(또는 사업자) 명의 통장 사본 1부   ※ 참고.  · 법정 미성년자 대표자여도 이미 사업자등록증 발급당시 법정대리인 확인 후 발급됨으로   스마트스토어 가입시점 법적대리인의 동의서류는 별도 받지 않음 · 예금주명이 대표자명 또는 사업자등록증의 상호명과 동일할 경우 통장사본 생략 가능 · 공동대표의 경우 대표 대표자가 예금주명에 있는 경우 통장 사본 생략 가능 · 대표자 본인 인감증명서 제출이 필요하며 법적대리인 인감증명서 제출로는 가입 심사 불가능  · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능  · 대표자 본인명의 휴대폰 인증시 '대표자 인감증명서'제출 생략 가능 간이/개인사업자 사업자 등록증 사본 1부 (1년 이내 발급분) 대표자 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 대표자(또는 사업자) 명의 통장 사본 1부  ※ 참고. · 예금주명이 대표자명 또는 사업자등록증의 상호명과 동일할 경우 통장사본 생략 가능 · 공동대표의 경우 대표 대표자가 예금주명에 있는 경우 통장 사본 생략 가능 · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능  · 대표자 본인명의 휴대폰 인증시 '대표자 인감증명서'제출 생략 가능  법인사업자 사업자 등록증 사본 1부 (1년 이내 발급분)   법인 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 법인 명의 통장 사본 1부  ※ 참고. · 예금주명이 사업자등록증의 법인 명의(상호명)과 동일한 경우 통장 사본 생략 가능 · 비영리 법인인 경우 법인인감증명서 대신 가입 시 기재한 대표자의 개인인감증명서로 대체 가능법인 지점사업자 지점 사업자 등록증 사본 1부 (1년 이내 발급분)  법인 인감증명서 사본 1부 (3개월 이내 발급분, 생년월일+성별 구분 제외 마스킹 필요) 지점 명의 통장 사본 1부 [통신판매업 신고번호 입력 기준] · 직전년도 주문건 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 주문건 구매확정 수 50건 이상인 경우  · 부가가치세법 제2조 제4호의 간이과세자에 해당되지 않을 경우(부가가치세법 제2조 제4호)판매자 유형간이사업자개인사업자(일반사업자) 법인사업자  통신판매업 신고번호 입력기준(복수 계정인 경우 총 합) 직전년도 누적 판매 금액 8,000만원 이상 또는 당해년도 1월1일부터 판매 금액 8,000만원 이상  직전 년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상※ 참고. · 모든 서류 제출 후 3영업일 이내 심사가 진행되며, 결과는 담당자 메일로 발송됩니다.  · 통신판매업 신고번호 입력 기준에 해당할 경우 통신판매업 신고 완료 후 정보변경 신청 바랍니다. · 통신판매업신고증 발급을 위한 '구매안전서비스 이용확인증' 출력은 스마트스토어 센터 내 [판매자정보 > 판매자 정보] 메뉴 우측 상단 '구매안전서비스 이용확인증'버튼을 통해 진행 가능합니다. · 신규 가입 시 공정거래위원회에서 사업자 정보로 조회가 가능한 경우 통신판매업 신고 번호 기재하여 가입이 진행됩니다. · 페이지가 여러 장인 서류는 모든 페이지를 접수해 주셔야 하며, 발급일자가 모두 동일해야 합니다. · 사업자등록증과 동일하게 정보가 기재된 사업자등록증명으로 대체가 가능하며 최근 1년 이내 발급한 서류로 제출 바랍니다. · 대표자 인감증명서는 '본인서명사실확인서' 사본으로 대체 접수 가능합니다.  · 미성년자 관련 서류 내 법정대리인 인감증명서 제출이 어려울 경우 법정대리인 본인서명사실확인서로 대체 가능합니다.   · 공동대표 인 경우 가입 신청 시 대표자명을 모두 입력해야 하며, 각 대표자의 개인인감증명서(법인인 경우 법인인감증명서)를 모두 제출해야 합니다. · 각자대표 인 경우 사업자등록증 상의 대표자가 다수여도 한 명의 대표자만 가입 가능하며, 이 때 가입서류 중 인감증명서는 가입 시 기재한 대표자의 서류(법인인 경우 법인인감증명서)만 제출 가능합니다. · 인감증명서는 최근 3개월 이내 발급분, 생년월일+성별 구분 제외하고 마스킹하여 제출 바랍니다.  


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입서류] 가입 시 필요한 서류는 언제까지 보내야 하나요?,"가입 신청하신 이후 30일 이내에 필수 서류를 제출해 주셔야 합니다. 만약 미제출 서류가 있을 경우 30일째 자동으로 ""보류"" 상태로 변경되며, 이후 180일째 ""보류"" 상태가 유지된다면, 자동으로 ""거부"" 처리됩니다.가입 시 필요한 서류는 어디로 보내야 하나요?》 ※ 참고. 심사는 필요서류제출 완료일을 기준으로 3일(영업일) 이내 진행됩니다.


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입서류] 판매자 가입을 위해 제출된 서류가 정상적으로 접수되었나요?,"먼저 [판매자 정보 > 심사내역 조회] 메뉴에서 심사 요청된 상태를 확인해 주세요. · 심사중(서류미제출) : 모든 서류가 정상적으로 제출되지 않은 경우입니다. 필수 서류를 다시 한번 체크하셔서 서류 첨부해 주세요. · 심사중 : 서류가 모두 접수되어 현재 심사가 진행되고 있는 상황이니 영업일 기준으로 3일만 기다려 주세요. ※ 참고.  심사중일때 이미 제출하신 서류를 다시 확인하실 수 없습니다.   


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입서류] 가입 시 필요한 서류는 어디로 보내야 하나요?,"서류는 가입 신청 시 파일 업로드 해 주시면 됩니다. 만약 가입 신청 시 업로드를 하지 못했을 경우에는 [판매자 정보 > 심사내역 조회]메뉴 내 '제출하기'버튼을 통해 파일 업로드 가능합니다.  가입 신청하신 이후 30일 이내에 필수 서류를 제출해 주셔야 합니다. 만약 미제출 서류가 있을 경우 30일째 자동으로 ""보류"" 상태로 변경되며, 이후 180일째 ""보류"" 상태가 유지된다면, 자동으로 ""거부"" 처리됩니다.※ 참고. · 휴대폰으로 촬영 시 서류가 선명하게 보이도록 촬영 후 파일을 업로드 해주세요.  · 심사가 완료된 이후에는 [판매자정보 > 정보변경]메뉴를 통해 수정 요청이 가능합니다. 


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



도움말 닫기"
[가입서류] 통신판매업 신고증을 제출해야 하나요?,"2020년 7월부로 통신판매업 신고 면제 기준이 변경됨에 따라 스마트스토어의 통신판매업 신고번호 입력 기준도 아래와 같이 반영되었습니다. 두가지 기준 중 하나에 해당할 경우 통신판매업 신고를 하지 않아도 됩니다.만약, 사업자로 운영중 통신판매업 신고번호 입력이 필요한 경우 [판매자정보 > 정보변경 신청]메뉴에서 진행해 주세요.           통신판매업 신고번호 입력 기준 · 직전년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상 · 부가가치세법 제2조 제4호의 간이과세자에 해당되지 않을 경우(부가가치세법 제2조 제4호)판매자유형 개인판매자 (개인판매회원)간이사업자개인사업자 (일반사업자)법인사업자  사업자 신고 기준(복수 계정인 경우 총 합) 직전년도 누적 판매금액 4,800만원 이상 또는당해년도 1월1일부터 누적 판매금액 4,400만원 이상 -통신판매업 신고번호 입력기준(복수 계정인 경우 총 합) 직전년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상직전년도 누적 판매 금액 8,000만원 이상 또는 당해년도 1월1일부터 판매 금액 8,000만원 이상  직전 년도 구매확정 수 50건 이상 또는 당해년도 1월1일부터 누적 구매확정 수 50건 이상 기준 초과 시 안내 사업자 전환 안내(로그인 팝업 알림/EMS 발송)통신판매업 미신고 안내(로그인 팝업 알림/EMS 발송) 매월 2일마다 안내 누적 판매금액 집계 기준(판매자등급 기준과 동일)구매확정 건의 상품주문번호 단위 결제금액 - 직권취소된 상품주문번호의 결제금액(조합형 옵션/추가 상품 금액 포함, 배송비는 판매금액에 포함되지 않음) 누적건수 집계 기준(판매자등급 기준과 동일)상품주문번호 단위 구매확정 건 - 직권취소 건 (일반 주문건만 포함되며, 추가상품/배송비는 판매건수에 포함되지 않음)          ※ 참고. · 통신판매업 신고번호 내 영문이 확인될 경우 한글로 입력하여 진행해 주시면 됩니다. (한글, 숫자, -만 입력 가능)  예시) 2020-성남분당B-1234 일 경우 2020-성남분당비-1234로 입력· 통신판매업신고증은 다른 서류 및 공정거래위원회 사이트와 동일한 정보로(소재지, 상호명, 대표자 등) 진행되어야 합니다.· 가입 시 공정거래위원회에서 사업자 정보로 정상 조회가 가능한 경우 통신판매업 신고 번호 기재하여 가입이 진행되고 있습니다. 


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



관련 도움말/키워드

구매안전서비스 이용확인증은 어디서 받아야 하나요?



도움말 닫기"
[가입서류] 구매안전서비스 이용확인증은 어디서 다운로드 하나요?,"﻿[판매자 정보 >판매자 정보] 메뉴 상단 '구매안전서비스 이용확인증(에스크로)'을 다운받을 수 있습니다.잠깐! 버튼이 노출되지 않는다면?!국내 개인판매회원으로 가입하셨을 경우에는 '구매안전서비스 이용확인증'버튼이 노출되지 않습니다.이 경우, 사업자 전환 신청을 완료해 주셔야 '구매안전서비스 이용확인증'버튼이 노출되므로 [판매자정보 > 사업자 전환] 신청 시 통신판매업 신고여부에는 '미신고'를 선택하여 신청 완료 후 다운로드해 주세요. 개인 판매 사업자 전환 방법 보기》※ 참고. 구매안전서비스 이용확인증 ※ 참고.  · 국내 사업자는 가입 심사중 상태에서도 다운로드 가능합니다.  · PDF 파일을 이미지로 저장을 원하실 경우 아래 정부 24에서 안내되고 있는 저장 방법 참고해 주세요.   PDF 파일 이미지로 저장하는 방법 보러가기》 


위 도움말이 도움이 되었나요?


별점1점

별점2점

별점3점

별점4점

별점5점



소중한 의견을 남겨주시면 보완하도록 노력하겠습니다.

보내기



관련 도움말/키워드

구매안전서비스 이용확인증에서 확인되는 소재지(주소) 변경은 어떻게 하나요?



도움말 닫기"
